"OldFeatureLabel" "NewFeatureLabel"
"tBodyAcc-arCoeff()-Z,3" "TimeBodyAccelerometerAutoregressionCoefficientsZ_3"
"tBodyAcc-arCoeff()-Z,4" "TimeBodyAccelerometerAutoregressionCoefficientsZ_4"
"tBodyAcc-correlation()-X,Y" "TimeBodyAccelerometerCorrelationX_Y"
"tBodyAcc-correlation()-X,Z" "TimeBodyAccelerometerCorrelationX_Z"
"tBodyAcc-correlation()-Y,Z" "TimeBodyAccelerometerCorrelationY_Z"
"tGravityAcc-mean()-X" "TimeGravityAccelerometerMeanX"
"tGravityAcc-mean()-Y" "TimeGravityAccelerometerMeanY"
"tGravityAcc-mean()-Z" "TimeGravityAccelerometerMeanZ"
"tGravityAcc-std()-X" "TimeGravityAccelerometerStandardDeviationX"
"tGravityAcc-std()-Y" "TimeGravityAccelerometerStandardDeviationY"
"tGravityAcc-std()-Z" "TimeGravityAccelerometerStandardDeviationZ"
"tGravityAcc-mad()-X" "TimeGravityAccelerometerMedianAbsoluteDeviationX"
"tGravityAcc-mad()-Y" "TimeGravityAccelerometerMedianAbsoluteDeviationY"
"tGravityAcc-mad()-Z" "TimeGravityAccelerometerMedianAbsoluteDeviationZ"
"tGravityAcc-max()-X" "TimeGravityAccelerometerMaxX"
"tGravityAcc-max()-Y" "TimeGravityAccelerometerMaxY"
"tGravityAcc-max()-Z" "TimeGravityAccelerometerMaxZ"
"tGravityAcc-min()-X" "TimeGravityAccelerometerMinX"
"tGravityAcc-min()-Y" "TimeGravityAccelerometerMinY"
"tGravityAcc-min()-Z" "TimeGravityAccelerometerMinZ"
"tGravityAcc-sma()" "TimeGravityAccelerometerSignalMagnitudeArea"
"tGravityAcc-energy()-X" "TimeGravityAccelerometerEnergyX"
"tGravityAcc-energy()-Y" "TimeGravityAccelerometerEnergyY"
"tGravityAcc-energy()-Z" "TimeGravityAccelerometerEnergyZ"
"tGravityAcc-iqr()-X" "TimeGravityAccelerometerInterquartileRangeX"
"tGravityAcc-iqr()-Y" "TimeGravityAccelerometerInterquartileRangeY"
"tGravityAcc-iqr()-Z" "TimeGravityAccelerometerInterquartileRangeZ"
"tGravityAcc-entropy()-X" "TimeGravityAccelerometerEntropyX"
"tGravityAcc-entropy()-Y" "TimeGravityAccelerometerEntropyY"
"tGravityAcc-entropy()-Z" "TimeGravityAccelerometerEntropyZ"
"tGravityAcc-arCoeff()-X,1" "TimeGravityAccelerometerAutoregressionCoefficientsX_1"
"tGravityAcc-arCoeff()-X,2" "TimeGravityAccelerometerAutoregressionCoefficientsX_2"
"tGravityAcc-arCoeff()-X,3" "TimeGravityAccelerometerAutoregressionCoefficientsX_3"
"tGravityAcc-arCoeff()-X,4" "TimeGravityAccelerometerAutoregressionCoefficientsX_4"
"tGravityAcc-arCoeff()-Y,1" "TimeGravityAccelerometerAutoregressionCoefficientsY_1"
"tGravityAcc-arCoeff()-Y,2" "TimeGravityAccelerometerAutoregressionCoefficientsY_2"
"tGravityAcc-arCoeff()-Y,3" "TimeGravityAccelerometerAutoregressionCoefficientsY_3"
"tGravityAcc-arCoeff()-Y,4" "TimeGravityAccelerometerAutoregressionCoefficientsY_4"
"tGravityAcc-arCoeff()-Z,1" "TimeGravityAccelerometerAutoregressionCoefficientsZ_1"
"tGravityAcc-arCoeff()-Z,2" "TimeGravityAccelerometerAutoregressionCoefficientsZ_2"
"tGravityAcc-arCoeff()-Z,3" "TimeGravityAccelerometerAutoregressionCoefficientsZ_3"
"tGravityAcc-arCoeff()-Z,4" "TimeGravityAccelerometerAutoregressionCoefficientsZ_4"
"tGravityAcc-correlation()-X,Y" "TimeGravityAccelerometerCorrelationX_Y"
"tGravityAcc-correlation()-X,Z" "TimeGravityAccelerometerCorrelationX_Z"
"tGravityAcc-correlation()-Y,Z" "TimeGravityAccelerometerCorrelationY_Z"
"tBodyAccJerk-mean()-X" "TimeBodyAccelerometerJerkMeanX"
"tBodyAccJerk-mean()-Y" "TimeBodyAccelerometerJerkMeanY"
"tBodyAccJerk-mean()-Z" "TimeBodyAccelerometerJerkMeanZ"
"tBodyAccJerk-std()-X" "TimeBodyAccelerometerJerkStandardDeviationX"
"tBodyAccJerk-std()-Y" "TimeBodyAccelerometerJerkStandardDeviationY"
"tBodyAccJerk-std()-Z" "TimeBodyAccelerometerJerkStandardDeviationZ"
"tBodyAccJerk-mad()-X" "TimeBodyAccelerometerJerkMedianAbsoluteDeviationX"
"tBodyAccJerk-mad()-Y" "TimeBodyAccelerometerJerkMedianAbsoluteDeviationY"
"tBodyAccJerk-mad()-Z" "TimeBodyAccelerometerJerkMedianAbsoluteDeviationZ"
"tBodyAccJerk-max()-X" "TimeBodyAccelerometerJerkMaxX"
"tBodyAccJerk-max()-Y" "TimeBodyAccelerometerJerkMaxY"
"tBodyAccJerk-max()-Z" "TimeBodyAccelerometerJerkMaxZ"
"tBodyAccJerk-min()-X" "TimeBodyAccelerometerJerkMinX"
"tBodyAccJerk-min()-Y" "TimeBodyAccelerometerJerkMinY"
"tBodyAccJerk-min()-Z" "TimeBodyAccelerometerJerkMinZ"
"tBodyAccJerk-sma()" "TimeBodyAccelerometerJerkSignalMagnitudeArea"
"tBodyAccJerk-energy()-X" "TimeBodyAccelerometerJerkEnergyX"
"tBodyAccJerk-energy()-Y" "TimeBodyAccelerometerJerkEnergyY"
"tBodyAccJerk-energy()-Z" "TimeBodyAccelerometerJerkEnergyZ"
"tBodyAccJerk-iqr()-X" "TimeBodyAccelerometerJerkInterquartileRangeX"
"tBodyAccJerk-iqr()-Y" "TimeBodyAccelerometerJerkInterquartileRangeY"
"tBodyAccJerk-iqr()-Z" "TimeBodyAccelerometerJerkInterquartileRangeZ"
"tBodyAccJerk-entropy()-X" "TimeBodyAccelerometerJerkEntropyX"
"tBodyAccJerk-entropy()-Y" "TimeBodyAccelerometerJerkEntropyY"
"tBodyAccJerk-entropy()-Z" "TimeBodyAccelerometerJerkEntropyZ"
"tBodyAccJerk-arCoeff()-X,1" "TimeBodyAccelerometerJerkAutoregressionCoefficientsX_1"
"tBodyAccJerk-arCoeff()-X,2" "TimeBodyAccelerometerJerkAutoregressionCoefficientsX_2"
"tBodyAccJerk-arCoeff()-X,3" "TimeBodyAccelerometerJerkAutoregressionCoefficientsX_3"
"tBodyAccJerk-arCoeff()-X,4" "TimeBodyAccelerometerJerkAutoregressionCoefficientsX_4"
"tBodyAccJerk-arCoeff()-Y,1" "TimeBodyAccelerometerJerkAutoregressionCoefficientsY_1"
"tBodyAccJerk-arCoeff()-Y,2" "TimeBodyAccelerometerJerkAutoregressionCoefficientsY_2"
"tBodyAccJerk-arCoeff()-Y,3" "TimeBodyAccelerometerJerkAutoregressionCoefficientsY_3"
"tBodyAccJerk-arCoeff()-Y,4" "TimeBodyAccelerometerJerkAutoregressionCoefficientsY_4"
"tBodyAccJerk-arCoeff()-Z,1" "TimeBodyAccelerometerJerkAutoregressionCoefficientsZ_1"
"tBodyAccJerk-arCoeff()-Z,2" "TimeBodyAccelerometerJerkAutoregressionCoefficientsZ_2"
"tBodyAccJerk-arCoeff()-Z,3" "TimeBodyAccelerometerJerkAutoregressionCoefficientsZ_3"
"tBodyAccJerk-arCoeff()-Z,4" "TimeBodyAccelerometerJerkAutoregressionCoefficientsZ_4"
"tBodyAccJerk-correlation()-X,Y" "TimeBodyAccelerometerJerkCorrelationX_Y"
"tBodyAccJerk-correlation()-X,Z" "TimeBodyAccelerometerJerkCorrelationX_Z"
"tBodyAccJerk-correlation()-Y,Z" "TimeBodyAccelerometerJerkCorrelationY_Z"
"tBodyGyro-mean()-X" "TimeBodyGyroscopeMeanX"
"tBodyGyro-mean()-Y" "TimeBodyGyroscopeMeanY"
"tBodyGyro-mean()-Z" "TimeBodyGyroscopeMeanZ"
"tBodyGyro-std()-X" "TimeBodyGyroscopeStandardDeviationX"
"tBodyGyro-std()-Y" "TimeBodyGyroscopeStandardDeviationY"
"tBodyGyro-std()-Z" "TimeBodyGyroscopeStandardDeviationZ"
"tBodyGyro-mad()-X" "TimeBodyGyroscopeMedianAbsoluteDeviationX"
"tBodyGyro-mad()-Y" "TimeBodyGyroscopeMedianAbsoluteDeviationY"
"tBodyGyro-mad()-Z" "TimeBodyGyroscopeMedianAbsoluteDeviationZ"
"tBodyGyro-max()-X" "TimeBodyGyroscopeMaxX"
"tBodyGyro-max()-Y" "TimeBodyGyroscopeMaxY"
"tBodyGyro-max()-Z" "TimeBodyGyroscopeMaxZ"
"tBodyGyro-min()-X" "TimeBodyGyroscopeMinX"
"tBodyGyro-min()-Y" "TimeBodyGyroscopeMinY"
"tBodyGyro-min()-Z" "TimeBodyGyroscopeMinZ"
"tBodyGyro-sma()" "TimeBodyGyroscopeSignalMagnitudeArea"
"tBodyGyro-energy()-X" "TimeBodyGyroscopeEnergyX"
"tBodyGyro-energy()-Y" "TimeBodyGyroscopeEnergyY"
"tBodyGyro-energy()-Z" "TimeBodyGyroscopeEnergyZ"
"tBodyGyro-iqr()-X" "TimeBodyGyroscopeInterquartileRangeX"
"tBodyGyro-iqr()-Y" "TimeBodyGyroscopeInterquartileRangeY"
"tBodyGyro-iqr()-Z" "TimeBodyGyroscopeInterquartileRangeZ"
"tBodyGyro-entropy()-X" "TimeBodyGyroscopeEntropyX"
"tBodyGyro-entropy()-Y" "TimeBodyGyroscopeEntropyY"
"tBodyGyro-entropy()-Z" "TimeBodyGyroscopeEntropyZ"
"tBodyGyro-arCoeff()-X,1" "TimeBodyGyroscopeAutoregressionCoefficientsX_1"
"tBodyGyro-arCoeff()-X,2" "TimeBodyGyroscopeAutoregressionCoefficientsX_2"
"tBodyGyro-arCoeff()-X,3" "TimeBodyGyroscopeAutoregressionCoefficientsX_3"
"tBodyGyro-arCoeff()-X,4" "TimeBodyGyroscopeAutoregressionCoefficientsX_4"
"tBodyGyro-arCoeff()-Y,1" "TimeBodyGyroscopeAutoregressionCoefficientsY_1"
"tBodyGyro-arCoeff()-Y,2" "TimeBodyGyroscopeAutoregressionCoefficientsY_2"
"tBodyGyro-arCoeff()-Y,3" "TimeBodyGyroscopeAutoregressionCoefficientsY_3"
"tBodyGyro-arCoeff()-Y,4" "TimeBodyGyroscopeAutoregressionCoefficientsY_4"
"tBodyGyro-arCoeff()-Z,1" "TimeBodyGyroscopeAutoregressionCoefficientsZ_1"
"tBodyGyro-arCoeff()-Z,2" "TimeBodyGyroscopeAutoregressionCoefficientsZ_2"
"tBodyGyro-arCoeff()-Z,3" "TimeBodyGyroscopeAutoregressionCoefficientsZ_3"
"tBodyGyro-arCoeff()-Z,4" "TimeBodyGyroscopeAutoregressionCoefficientsZ_4"
"tBodyGyro-correlation()-X,Y" "TimeBodyGyroscopeCorrelationX_Y"
"tBodyGyro-correlation()-X,Z" "TimeBodyGyroscopeCorrelationX_Z"
"tBodyGyro-correlation()-Y,Z" "TimeBodyGyroscopeCorrelationY_Z"
"tBodyGyroJerk-mean()-X" "TimeBodyGyroscopeJerkMeanX"
"tBodyGyroJerk-mean()-Y" "TimeBodyGyroscopeJerkMeanY"
"tBodyGyroJerk-mean()-Z" "TimeBodyGyroscopeJerkMeanZ"
"tBodyGyroJerk-std()-X" "TimeBodyGyroscopeJerkStandardDeviationX"
"tBodyGyroJerk-std()-Y" "TimeBodyGyroscopeJerkStandardDeviationY"
"tBodyGyroJerk-std()-Z" "TimeBodyGyroscopeJerkStandardDeviationZ"
"tBodyGyroJerk-mad()-X" "TimeBodyGyroscopeJerkMedianAbsoluteDeviationX"
"tBodyGyroJerk-mad()-Y" "TimeBodyGyroscopeJerkMedianAbsoluteDeviationY"
"tBodyGyroJerk-mad()-Z" "TimeBodyGyroscopeJerkMedianAbsoluteDeviationZ"
"tBodyGyroJerk-max()-X" "TimeBodyGyroscopeJerkMaxX"
"tBodyGyroJerk-max()-Y" "TimeBodyGyroscopeJerkMaxY"
"tBodyGyroJerk-max()-Z" "TimeBodyGyroscopeJerkMaxZ"
"tBodyGyroJerk-min()-X" "TimeBodyGyroscopeJerkMinX"
"tBodyGyroJerk-min()-Y" "TimeBodyGyroscopeJerkMinY"
"tBodyGyroJerk-min()-Z" "TimeBodyGyroscopeJerkMinZ"
"tBodyGyroJerk-sma()" "TimeBodyGyroscopeJerkSignalMagnitudeArea"
"tBodyGyroJerk-energy()-X" "TimeBodyGyroscopeJerkEnergyX"
"tBodyGyroJerk-energy()-Y" "TimeBodyGyroscopeJerkEnergyY"
"tBodyGyroJerk-energy()-Z" "TimeBodyGyroscopeJerkEnergyZ"
"tBodyGyroJerk-iqr()-X" "TimeBodyGyroscopeJerkInterquartileRangeX"
"tBodyGyroJerk-iqr()-Y" "TimeBodyGyroscopeJerkInterquartileRangeY"
"tBodyGyroJerk-iqr()-Z" "TimeBodyGyroscopeJerkInterquartileRangeZ"
"tBodyGyroJerk-entropy()-X" "TimeBodyGyroscopeJerkEntropyX"
"tBodyGyroJerk-entropy()-Y" "TimeBodyGyroscopeJerkEntropyY"
"tBodyGyroJerk-entropy()-Z" "TimeBodyGyroscopeJerkEntropyZ"
"tBodyGyroJerk-arCoeff()-X,1" "TimeBodyGyroscopeJerkAutoregressionCoefficientsX_1"
"tBodyGyroJerk-arCoeff()-X,2" "TimeBodyGyroscopeJerkAutoregressionCoefficientsX_2"
"tBodyGyroJerk-arCoeff()-X,3" "TimeBodyGyroscopeJerkAutoregressionCoefficientsX_3"
"tBodyGyroJerk-arCoeff()-X,4" "TimeBodyGyroscopeJerkAutoregressionCoefficientsX_4"
"tBodyGyroJerk-arCoeff()-Y,1" "TimeBodyGyroscopeJerkAutoregressionCoefficientsY_1"
"tBodyGyroJerk-arCoeff()-Y,2" "TimeBodyGyroscopeJerkAutoregressionCoefficientsY_2"
"tBodyGyroJerk-arCoeff()-Y,3" "TimeBodyGyroscopeJerkAutoregressionCoefficientsY_3"
"tBodyGyroJerk-arCoeff()-Y,4" "TimeBodyGyroscopeJerkAutoregressionCoefficientsY_4"
"tBodyGyroJerk-arCoeff()-Z,1" "TimeBodyGyroscopeJerkAutoregressionCoefficientsZ_1"
"tBodyGyroJerk-arCoeff()-Z,2" "TimeBodyGyroscopeJerkAutoregressionCoefficientsZ_2"
"tBodyGyroJerk-arCoeff()-Z,3" "TimeBodyGyroscopeJerkAutoregressionCoefficientsZ_3"
"tBodyGyroJerk-arCoeff()-Z,4" "TimeBodyGyroscopeJerkAutoregressionCoefficientsZ_4"
"tBodyGyroJerk-correlation()-X,Y" "TimeBodyGyroscopeJerkCorrelationX_Y"
"tBodyGyroJerk-correlation()-X,Z" "TimeBodyGyroscopeJerkCorrelationX_Z"
"tBodyGyroJerk-correlation()-Y,Z" "TimeBodyGyroscopeJerkCorrelationY_Z"
"tBodyAccMag-mean()" "TimeBodyAccelerometerMagnitudeMean"
"tBodyAccMag-std()" "TimeBodyAccelerometerMagnitudeStandardDeviation"
"tBodyAccMag-mad()" "TimeBodyAccelerometerMagnitudeMedianAbsoluteDeviation"
"tBodyAccMag-max()" "TimeBodyAccelerometerMagnitudeMax"
"tBodyAccMag-min()" "TimeBodyAccelerometerMagnitudeMin"
"tBodyAccMag-sma()" "TimeBodyAccelerometerMagnitudeSignalMagnitudeArea"
"tBodyAccMag-energy()" "TimeBodyAccelerometerMagnitudeEnergy"
"tBodyAccMag-iqr()" "TimeBodyAccelerometerMagnitudeInterquartileRange"
"tBodyAccMag-entropy()" "TimeBodyAccelerometerMagnitudeEntropy"
"tBodyAccMag-arCoeff()1" "TimeBodyAccelerometerMagnitudeAutoregressionCoefficients1"
"tBodyAccMag-arCoeff()2" "TimeBodyAccelerometerMagnitudeAutoregressionCoefficients2"
"tBodyAccMag-arCoeff()3" "TimeBodyAccelerometerMagnitudeAutoregressionCoefficients3"
"tBodyAccMag-arCoeff()4" "TimeBodyAccelerometerMagnitudeAutoregressionCoefficients4"
"tGravityAccMag-mean()" "TimeGravityAccelerometerMagnitudeMean"
"tGravityAccMag-std()" "TimeGravityAccelerometerMagnitudeStandardDeviation"
"tGravityAccMag-mad()" "TimeGravityAccelerometerMagnitudeMedianAbsoluteDeviation"
"tGravityAccMag-max()" "TimeGravityAccelerometerMagnitudeMax"
"tGravityAccMag-min()" "TimeGravityAccelerometerMagnitudeMin"
"tGravityAccMag-sma()" "TimeGravityAccelerometerMagnitudeSignalMagnitudeArea"
"tGravityAccMag-energy()" "TimeGravityAccelerometerMagnitudeEnergy"
"tGravityAccMag-iqr()" "TimeGravityAccelerometerMagnitudeInterquartileRange"
"tGravityAccMag-entropy()" "TimeGravityAccelerometerMagnitudeEntropy"
"tGravityAccMag-arCoeff()1" "TimeGravityAccelerometerMagnitudeAutoregressionCoefficients1"
"tGravityAccMag-arCoeff()2" "TimeGravityAccelerometerMagnitudeAutoregressionCoefficients2"
"tGravityAccMag-arCoeff()3" "TimeGravityAccelerometerMagnitudeAutoregressionCoefficients3"
"tGravityAccMag-arCoeff()4" "TimeGravityAccelerometerMagnitudeAutoregressionCoefficients4"
"tBodyAccJerkMag-mean()" "TimeBodyAccelerometerJerkMagnitudeMean"
"tBodyAccJerkMag-std()" "TimeBodyAccelerometerJerkMagnitudeStandardDeviation"
"tBodyAccJerkMag-mad()" "TimeBodyAccelerometerJerkMagnitudeMedianAbsoluteDeviation"
"tBodyAccJerkMag-max()" "TimeBodyAccelerometerJerkMagnitudeMax"
"tBodyAccJerkMag-min()" "TimeBodyAccelerometerJerkMagnitudeMin"
"tBodyAccJerkMag-sma()" "TimeBodyAccelerometerJerkMagnitudeSignalMagnitudeArea"
"tBodyAccJerkMag-energy()" "TimeBodyAccelerometerJerkMagnitudeEnergy"
"tBodyAccJerkMag-iqr()" "TimeBodyAccelerometerJerkMagnitudeInterquartileRange"
"tBodyAccJerkMag-entropy()" "TimeBodyAccelerometerJerkMagnitudeEntropy"
"tBodyAccJerkMag-arCoeff()1" "TimeBodyAccelerometerJerkMagnitudeAutoregressionCoefficients1"
"tBodyAccJerkMag-arCoeff()2" "TimeBodyAccelerometerJerkMagnitudeAutoregressionCoefficients2"
"tBodyAccJerkMag-arCoeff()3" "TimeBodyAccelerometerJerkMagnitudeAutoregressionCoefficients3"
"tBodyAccJerkMag-arCoeff()4" "TimeBodyAccelerometerJerkMagnitudeAutoregressionCoefficients4"
"tBodyGyroMag-mean()" "TimeBodyGyroscopeMagnitudeMean"
"tBodyGyroMag-std()" "TimeBodyGyroscopeMagnitudeStandardDeviation"
"tBodyGyroMag-mad()" "TimeBodyGyroscopeMagnitudeMedianAbsoluteDeviation"
"tBodyGyroMag-max()" "TimeBodyGyroscopeMagnitudeMax"
"tBodyGyroMag-min()" "TimeBodyGyroscopeMagnitudeMin"
"tBodyGyroMag-sma()" "TimeBodyGyroscopeMagnitudeSignalMagnitudeArea"
"tBodyGyroMag-energy()" "TimeBodyGyroscopeMagnitudeEnergy"
"tBodyGyroMag-iqr()" "TimeBodyGyroscopeMagnitudeInterquartileRange"
"tBodyGyroMag-entropy()" "TimeBodyGyroscopeMagnitudeEntropy"
"tBodyGyroMag-arCoeff()1" "TimeBodyGyroscopeMagnitudeAutoregressionCoefficients1"
"tBodyGyroMag-arCoeff()2" "TimeBodyGyroscopeMagnitudeAutoregressionCoefficients2"
"tBodyGyroMag-arCoeff()3" "TimeBodyGyroscopeMagnitudeAutoregressionCoefficients3"
"tBodyGyroMag-arCoeff()4" "TimeBodyGyroscopeMagnitudeAutoregressionCoefficients4"
"tBodyGyroJerkMag-mean()" "TimeBodyGyroscopeJerkMagnitudeMean"
"tBodyGyroJerkMag-std()" "TimeBodyGyroscopeJerkMagnitudeStandardDeviation"
"tBodyGyroJerkMag-mad()" "TimeBodyGyroscopeJerkMagnitudeMedianAbsoluteDeviation"
"tBodyGyroJerkMag-max()" "TimeBodyGyroscopeJerkMagnitudeMax"
"tBodyGyroJerkMag-min()" "TimeBodyGyroscopeJerkMagnitudeMin"
"tBodyGyroJerkMag-sma()" "TimeBodyGyroscopeJerkMagnitudeSignalMagnitudeArea"
"tBodyGyroJerkMag-energy()" "TimeBodyGyroscopeJerkMagnitudeEnergy"
"tBodyGyroJerkMag-iqr()" "TimeBodyGyroscopeJerkMagnitudeInterquartileRange"
"tBodyGyroJerkMag-entropy()" "TimeBodyGyroscopeJerkMagnitudeEntropy"
"tBodyGyroJerkMag-arCoeff()1" "TimeBodyGyroscopeJerkMagnitudeAutoregressionCoefficients1"
"tBodyGyroJerkMag-arCoeff()2" "TimeBodyGyroscopeJerkMagnitudeAutoregressionCoefficients2"
"tBodyGyroJerkMag-arCoeff()3" "TimeBodyGyroscopeJerkMagnitudeAutoregressionCoefficients3"
"tBodyGyroJerkMag-arCoeff()4" "TimeBodyGyroscopeJerkMagnitudeAutoregressionCoefficients4"
"fBodyAcc-mean()-X" "FrequencyBodyAccelerometerMeanX"
"fBodyAcc-mean()-Y" "FrequencyBodyAccelerometerMeanY"
"fBodyAcc-mean()-Z" "FrequencyBodyAccelerometerMeanZ"
"fBodyAcc-std()-X" "FrequencyBodyAccelerometerStandardDeviationX"
"fBodyAcc-std()-Y" "FrequencyBodyAccelerometerStandardDeviationY"
"fBodyAcc-std()-Z" "FrequencyBodyAccelerometerStandardDeviationZ"
"fBodyAcc-mad()-X" "FrequencyBodyAccelerometerMedianAbsoluteDeviationX"
"fBodyAcc-mad()-Y" "FrequencyBodyAccelerometerMedianAbsoluteDeviationY"
"fBodyAcc-mad()-Z" "FrequencyBodyAccelerometerMedianAbsoluteDeviationZ"
"fBodyAcc-max()-X" "FrequencyBodyAccelerometerMaxX"
"fBodyAcc-max()-Y" "FrequencyBodyAccelerometerMaxY"
"fBodyAcc-max()-Z" "FrequencyBodyAccelerometerMaxZ"
"fBodyAcc-min()-X" "FrequencyBodyAccelerometerMinX"
"fBodyAcc-min()-Y" "FrequencyBodyAccelerometerMinY"
"fBodyAcc-min()-Z" "FrequencyBodyAccelerometerMinZ"
"fBodyAcc-sma()" "FrequencyBodyAccelerometerSignalMagnitudeArea"
"fBodyAcc-energy()-X" "FrequencyBodyAccelerometerEnergyX"
"fBodyAcc-energy()-Y" "FrequencyBodyAccelerometerEnergyY"
"fBodyAcc-energy()-Z" "FrequencyBodyAccelerometerEnergyZ"
"fBodyAcc-iqr()-X" "FrequencyBodyAccelerometerInterquartileRangeX"
"fBodyAcc-iqr()-Y" "FrequencyBodyAccelerometerInterquartileRangeY"
"fBodyAcc-iqr()-Z" "FrequencyBodyAccelerometerInterquartileRangeZ"
"fBodyAcc-entropy()-X" "FrequencyBodyAccelerometerEntropyX"
"fBodyAcc-entropy()-Y" "FrequencyBodyAccelerometerEntropyY"
"fBodyAcc-entropy()-Z" "FrequencyBodyAccelerometerEntropyZ"
"fBodyAcc-maxInds-X" "FrequencyBodyAccelerometerMaxIndsX"
"fBodyAcc-maxInds-Y" "FrequencyBodyAccelerometerMaxIndsY"
"fBodyAcc-maxInds-Z" "FrequencyBodyAccelerometerMaxIndsZ"
"fBodyAcc-meanFreq()-X" "FrequencyBodyAccelerometerMeanFreqX"
"fBodyAcc-meanFreq()-Y" "FrequencyBodyAccelerometerMeanFreqY"
"fBodyAcc-meanFreq()-Z" "FrequencyBodyAccelerometerMeanFreqZ"
"fBodyAcc-skewness()-X" "FrequencyBodyAccelerometerSkewnessX"
"fBodyAcc-kurtosis()-X" "FrequencyBodyAccelerometerKurtosisX"
"fBodyAcc-skewness()-Y" "FrequencyBodyAccelerometerSkewnessY"
"fBodyAcc-kurtosis()-Y" "FrequencyBodyAccelerometerKurtosisY"
"fBodyAcc-skewness()-Z" "FrequencyBodyAccelerometerSkewnessZ"
"fBodyAcc-kurtosis()-Z" "FrequencyBodyAccelerometerKurtosisZ"
"fBodyAcc-bandsEnergy()-1,8" "FrequencyBodyAccelerometerBandsEnergy1_8"
"fBodyAcc-bandsEnergy()-9,16" "FrequencyBodyAccelerometerBandsEnergy9_16"
"fBodyAcc-bandsEnergy()-17,24" "FrequencyBodyAccelerometerBandsEnergy17_24"
"fBodyAcc-bandsEnergy()-25,32" "FrequencyBodyAccelerometerBandsEnergy25_32"
"fBodyAcc-bandsEnergy()-33,40" "FrequencyBodyAccelerometerBandsEnergy33_40"
"fBodyAcc-bandsEnergy()-41,48" "FrequencyBodyAccelerometerBandsEnergy41_48"
"fBodyAcc-bandsEnergy()-49,56" "FrequencyBodyAccelerometerBandsEnergy49_56"
"fBodyAcc-bandsEnergy()-57,64" "FrequencyBodyAccelerometerBandsEnergy57_64"
"fBodyAcc-bandsEnergy()-1,16" "FrequencyBodyAccelerometerBandsEnergy1_16"
"fBodyAcc-bandsEnergy()-17,32" "FrequencyBodyAccelerometerBandsEnergy17_32"
"fBodyAcc-bandsEnergy()-33,48" "FrequencyBodyAccelerometerBandsEnergy33_48"
"fBodyAcc-bandsEnergy()-49,64" "FrequencyBodyAccelerometerBandsEnergy49_64"
